id_str,text,created_at,"('user', 'id_str')"
737291487961042944,@KLM unable to sort #connectionflighttransport at #Schiphol for those with no #schengenvisa #klmcustomerservice #disgraced,Mon May 30 14:36:03 +0000 2016,3033797782
737291488015613953,"RT @Alonso2005: ¡OTRO LOGRO DEL COLOMBIANO MADURO! 
LUFTHANSA Y LATAM SE VAN DEL PAIS https://t.co/4BFB5IkXFF",Mon May 30 14:36:03 +0000 2016,64802510
737291498316812288,"RT @RachieSkarsten: Flight cancelled, stuck in Berlin. 🍺 on @lufthansa ?",Mon May 30 14:36:06 +0000 2016,105942941
737291501336723456,"RT @david_bychkov: easyJet: YiliansG Hi Yilians! If you're still flying with us, email us the hotel receipt. Check your rights here &gt;https:…",Mon May 30 14:36:06 +0000 2016,733990604754067456
737291505413595136,RT @teleamazonasec: Lufthansa toma decisión indefinida https://t.co/fyxnmjaVvL,Mon May 30 14:36:07 +0000 2016,253882035
737291516817903617,@KLM - why is flight KL 1286 cancelled? What re-arrangements are being made? Cheers,Mon May 30 14:36:10 +0000 2016,1074404785
737291531325968384,Und @airberlin hat nun geschafft was die @Lufthansa_DE in 2 Tagen nicht fertig gebracht hat: ich bin wieder in Berlin.,Mon May 30 14:36:13 +0000 2016,112664943
737291534744293376,Notlandung von #Lufthansa-Maschine in #Frankfurt:  https://t.co/RdQ7Ry6nvp,Mon May 30 14:36:14 +0000 2016,203123092
737291536036155392,"RT @CNNEE: Lufthansa suspenderá vuelos a Venezuela de manera indefinida
https://t.co/50ZOqPgQum",Mon May 30 14:36:15 +0000 2016,1375076480
737291540264062976,@British_Airways bit much when my dad who needs special assistance has to push my mum in a wheelchair at Edinburgh. No staff! #disappointed,Mon May 30 14:36:16 +0000 2016,491563226
737291556193898497,RT @periodicovzlano: ¡Más aislados! Lufthansa confirma que se va de Venezuela https://t.co/ctZXzmYpoh https://t.co/9yc4B3kDTj,Mon May 30 14:36:19 +0000 2016,151542825
737291566763671552,"easyJet: Crook3rs Hi Larry, I'm sorry to hear about this. Please see this link for your entitlements https://t.co/pRGHH7kGcd BR, Justine",Mon May 30 14:36:22 +0000 2016,4496871736
737291568135032832,"@united Airlines, @Iberia and @British_Airways halt flights to Nigeria via https://t.co/8KyDmdOKhR  and https://t.co/34zAUXoh8A",Mon May 30 14:36:22 +0000 2016,105075624
737291568663699457,"easyJet: SamuelDumoulin Bjr, toutes mes excuses pour cela. Pour vos droits, veuillez svp consulter le lien suivant https://t.co/RY2EoPswzR…",Mon May 30 14:36:22 +0000 2016,4496871736
737291569758404608,"easyJet: L_lashesxx HI, I apologize for the inconvenience. Please, check your entitlements in case of cancellation: …",Mon May 30 14:36:23 +0000 2016,4496871736
737291570744045568,easyJet: Dave_Edward Hi! Sorry to know about this. Our records are still updating. Pls contact us within 7-10 days to know the official rea…,Mon May 30 14:36:23 +0000 2016,4496871736
737291571717148672,"easyJet: MattGreenfield2 Hi, I’m sorry I couldn’t reach you earlier. Please see this link for info: https://t.co/sbUQzGDHrK BR Klaudia",Mon May 30 14:36:23 +0000 2016,4496871736
737291572895711232,easyJet: DanWise1977 Hi! Sorry for any inconvenience. Pls make sure you check this link&gt;https://t.co/9sgKK4WlR1  Congrats on running the ma…,Mon May 30 14:36:23 +0000 2016,4496871736
737291573948485632,"easyJet: sophiesavage4 Hi Sophie, You can find out more information here: https://t.co/lCmiLvgKtE BR Klaudia",Mon May 30 14:36:24 +0000 2016,4496871736
737291576821612544,"@AmericanAir  Yes, but still same priority... Again, too many ExecPlat.  Need a higher tier now.",Mon May 30 14:36:24 +0000 2016,156807569
737291579652722689,RT @CONSETURISMO: Cada vuelo cancelado cierra puerta a llegada de turistas. Lufthansa suspende vuelos a Venezuela de manera temporal https:…,Mon May 30 14:36:25 +0000 2016,2157015086
737291582819438593,RT @teleamazonasec: Lufthansa toma decisión indefinida https://t.co/fyxnmjaVvL,Mon May 30 14:36:26 +0000 2016,394917476
737291584098668544,"@KLM It was only a bit of cloud, not unusual in western Europe. Now in Prague 5 hours late, awaiting luggage from probably the next plane...",Mon May 30 14:36:26 +0000 2016,116305625
737291612989095940,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/MfHAooprgu via @CNNEE",Mon May 30 14:36:33 +0000 2016,1032909840
737291618592665601,Lufthansa stoppar sina flyg till Venezuela på obestämd tid. Planerar du att flyga till Venezuela? https://t.co/2XRD9ivkjY,Mon May 30 14:36:34 +0000 2016,701372141657260032
737291650259685376,https://t.co/LiRk9tD0lt Retweeted https://t.co/F4ptzjHBsr,Mon May 30 14:36:42 +0000 2016,714484439879970816
737291660955000832,"RT @AmericanAir: This #MemorialDay, we remember those who have made the ultimate sacrifice. https://t.co/QpGts537NY",Mon May 30 14:36:44 +0000 2016,29152106
737291666894295040,RT @NTN24: Aerolínea Lufthansa anuncia suspensión de servicios de Caracas a Fráncfort a partir del 18 de junio [Video] https://t.co/MhkaA5Y…,Mon May 30 14:36:46 +0000 2016,456848204
737291676188848129,@British_Airways thanks for cancelling my flight with no explanation or apology. Happy Bank Holiday,Mon May 30 14:36:48 +0000 2016,351836585
737291677883346945,A ball ache of a journey for many travelling through @Schiphol with @KLM today. Utter shambles I hear.,Mon May 30 14:36:48 +0000 2016,3392276704
737291683340136448,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/6MMUhJE3TJ via @CNNEE",Mon May 30 14:36:50 +0000 2016,140268799
737291689187024896,RT @theipaper: Did you help save a man's life on a Ryanair flight to Birmingham? Someone wants to say thank you https://t.co/fOG8axgIF0,Mon May 30 14:36:51 +0000 2016,2167377962
737291700041830401,"@easyJet hi, I asked before and have been told my dad can just take his paper boarding pass and obviously a valid passport but thank you!",Mon May 30 14:36:54 +0000 2016,559531874
737291706899562496,"Ryanair: blush_01 Hi, if you have not checked in you can make changes online, can you please advise what the problem is? TT",Mon May 30 14:36:55 +0000 2016,4496871736
737291709361577985,"Ryanair: DavePawley Hi Dave, At this moment we do not have this info, please our monitor website for any updates. TT",Mon May 30 14:36:56 +0000 2016,4496871736
737291710041067520,@KLM bedankt weer voor de service.Just landed in Hamburg,Mon May 30 14:36:56 +0000 2016,254964056
737291711337091072,"Ryanair: letty51904366 Hi there, you can do this through our live chat https://t.co/BUo9GvFtxe TT",Mon May 30 14:36:56 +0000 2016,4496871736
737291713434259457,Ryanair: blush_01 You don't need to notify us if you are unable to travel. TT,Mon May 30 14:36:57 +0000 2016,4496871736
737291715611136000,Ryanair: blush_01 You can fill in the online refund application at https://t.co/lnFuqjwYgc TT,Mon May 30 14:36:57 +0000 2016,4496871736
737291717381128192,Ryanair: anfieldeddy69 You can use the Ryanair mobile app and have the boarding pass on that TT,Mon May 30 14:36:58 +0000 2016,4496871736
737291719226593280,Ryanair: blush_01 You can contact someone at the call centre at one of the following numbers https://t.co/5PjJSr2GHJ TT,Mon May 30 14:36:58 +0000 2016,4496871736
737291724339437568,RT @El_Cooperante: Aerolíneas Lufthansa y Latam suspenden vuelos a Caracas por deuda del Gobierno de Maduro https://t.co/CNRG3RgUon https:/…,Mon May 30 14:36:59 +0000 2016,979766802
737291738197413889,"and the best airline app goes to @easyJet! wow, what fantastic UX and features! #FlightTracker #EasyJet",Mon May 30 14:37:03 +0000 2016,617982255
737291764365545472,@AmericanAir first flight out usually guarantees on time. Not American. AA406 sitting here 1.5 hours now with no ETD. Never again.,Mon May 30 14:37:09 +0000 2016,21261673
737291782472355840,RT @bunzleantilles: Yay! M&amp;D landed and on their way home #nosebumps @EtihadAirways for early arrival #Manchester https://t.co/iJRERjxd7T,Mon May 30 14:37:13 +0000 2016,1276935390
737291789283954688,#Tendencia Lufthansa dejará de operar en Venezuela https://t.co/Z8gLMPeL2B #RT,Mon May 30 14:37:15 +0000 2016,2674075111
737291791062302721,#Tendencia Lufthansa dejará de operar en Venezuela https://t.co/dVMp1QHbEl #Venezuela,Mon May 30 14:37:15 +0000 2016,2673927794
737291793432215552,RT @periodicovzlano: ¡Más aislados! Lufthansa confirma que se va de Venezuela https://t.co/ctZXzmYpoh https://t.co/9yc4B3kDTj,Mon May 30 14:37:16 +0000 2016,1370037038
737291795931877376,"Oh, great. 2 hour delay for my @British_Airways 287 flight today. &lt;4 hours from arrival via hotel to @AEOUD.",Mon May 30 14:37:17 +0000 2016,5347142
737291799698378752,"RT @AmericanAir: This #MemorialDay, we remember those who have made the ultimate sacrifice. https://t.co/QpGts537NY",Mon May 30 14:37:17 +0000 2016,316748853
